,Dates,Year,SALES_REV_TURN,IS_COGS_TO_FE_AND_PP_AND_G,GROSS_PROFIT,IS_OPER_INC,EBITDA,IS_INC_TAX_EXP,EBIT,IS_INT_EXPENSE,IS_INT_INC,IS_NET_INTEREST_EXPENSE,IS_DEPR_EXP,IS_INVEST_INCOME,BS_TOT_ASSET,TOTAL_EQUITY,BS_TOT_LIAB2,BS_ST_DEBT,BS_LT_BORROW,C&CE_AND_STI_DETAILED,BS_SH_OUT,BS_CUR_ASSET_REPORT,BS_CUR_LIAB,BS_ACCT_NOTE_RCV,ACCT_PAYABLE_&_ACCRUALS_DETAILED,BS_ACCT_PAYABLE,BS_ACCTS_REC_EXCL_NOTES_REC,BS_INVENTORIES,CF_CASH_FROM_OPER,CF_CASH_FROM_INV_ACT,CF_CASH_FROM_FNC_ACT,GICS_SECTOR,GICS_INDUSTRY_GROUP,GICS_INDUSTRY,GICS_SUB_INDUSTRY,ARD_NET_INC,SHORT_TERM_DEBT_DETAILED,LONG_TERM_BORROWINGS_DETAILED,symbol
1,31/12/2004,2004,52457,45025,7432,1987,3496,140,1987,335,NA,335,1028,NA,56224,11286,44938,NA,10879,3523,793.2017,17361,23096,5269,4563,4563,4653,6508,3504,-1446,-3487,NA,NA,NA,NA,1872,1250,10634,BA US EQUITY
2,31/12/2005,2005,53621,44984,8637,2292,3795,257,2292,294,NA,294,1412,NA,59996,11059,48937,NA,9538,5966,760.5763,21906,28126,5613,5124,5124,5246,7878,7000,-98,-4694,NA,NA,NA,NA,2572,1135,9381,BA US EQUITY
3,31/12/2006,2006,61530,50437,11093,3811,5356,988,3811,240,NA,240,1445,NA,51794,4739,47055,NA,8157,6386,757.836,22983,29701,5655,5643,5643,5285,8105,7499,-3186,-3607,NA,NA,NA,NA,2215,1326,8069,BA US EQUITY
4,31/12/2007,2007,66387,53402,12985,5792,7278,2060,5792,196,NA,196,1334,NA,58986,9004,49982,NA,7455,9308,736.6811,27280,31538,6068,5714,5714,5740,9563,9584,-3822,-4838,NA,NA,NA,NA,4074,745,7384,BA US EQUITY
5,31/12/2008,2008,60909,50352,10557,3946,5437,1341,3946,202,NA,NA,1013,NA,53779,-1294,55073,NA,6952,3279,698.1384,25964,30925,6027,5871,5871,5602,15612,-401,1888,-5261,NA,NA,NA,NA,2672,551,6890,BA US EQUITY
6,31/12/2009,2009,68281,56540,11741,2096,3762,396,2096,339,0,339,1459,NA,62053,2225,59828,707,12217,11223,726.2911,35275,32883,6153,19992,7096,5785,2260,5603,-3794,4138,NA,NA,NA,NA,1312,707,12217,BA US EQUITY
7,31/12/2010,2010,64306,51843,12463,4971,6698,1196,4971,516,0,516,1510,NA,68565,2862,65703,948,11473,10517,735.2591,40572,35395,5707,22009,7715,5422,9917,2952,-4831,-1977,NA,NA,NA,NA,3307,948,11473,BA US EQUITY
8,31/12/2011,2011,68735,55867,12868,5844,7504,1382,5844,498,0,498,1457,NA,79986,3608,76378,0,10018,11272,744.7048,49810,41274,6269,23294,8406,5793,18653,4023,2369,-1702,NA,NA,NA,NA,4018,0,10018,BA US EQUITY
9,31/12/2012,2012,81698,68665,13033,6290,8101,2007,6290,442,0,442,1248,NA,88896,5967,82929,0,8973,13558,755.6305,57309,44982,5972,26790,9394,5608,22621,7508,-3757,-3459,NA,NA,NA,NA,3900,0,8973,BA US EQUITY
10,31/12/2013,2013,86623,73268,13355,6562,8406,1646,6562,386,0,386,1338,NA,92663,14997,77666,0,8072,15258,747.3787,65074,51486,6890,29817,9498,6546,30304,8179,-5154,-4278,NA,NA,NA,NA,4585,0,7989,BA US EQUITY
11,31/12/2014,2014,90762,76752,14010,7473,9379,1691,7473,333,0,333,1414,NA,92921,8790,84131,0,8141,13092,706.7276,67767,48233,7919,23912,10667,7729,33375,8858,2467,-8680,NA,NA,NA,NA,5446,0,8044,BA US EQUITY
12,31/12/2015,2015,96114,82088,14026,7443,9276,1979,7443,275,0,275,1357,NA,94408,6397,88011,0,8730,12052,666.6238,68234,50412,8925,24463,10800,8713,33399,9363,-1846,-7948,NA,NA,NA,NA,5176,0,8633,BA US EQUITY
13,31/12/2016,2016,93496,79026,14470,6527,8416,749,6527,306,0,306,1418,NA,89997,877,89120,0,9568,10029,617.1516,62488,50134,9260,25589,11190,8832,30398,10496,-3378,-9620,NA,NA,NA,NA,5034,0,9487,BA US EQUITY
